PriceList.Code,BaseValue,PriceRule.Code,Item.RefCode,Item.Attribute.0.Value
HUF-2025-Q12603,62990,PR00011,AML50_B,7
HUF-2025-Q12603,47990,PR00011,AML60E_J,1
HUF-2025-Q12603,66990,PR00011,AML60E_J,2
HUF-2025-Q12603,66990,PR00011,AML60E_J,3
HUF-2025-Q12603,66990,PR00011,AML60E_J,4
HUF-2025-Q12603,66990,PR00011,AML60E_J,5
HUF-2025-Q12603,68990,PR00011,AML60E_J,7
HUF-2025-Q12603,47990,PR00011,AML60E_B,1
HUF-2025-Q12603,66990,PR00011,AML60E_B,2
HUF-2025-Q12603,66990,PR00011,AML60E_B,3
HUF-2025-Q12603,66990,PR00011,AML60E_B,4
HUF-2025-Q12603,66990,PR00011,AML60E_B,5
HUF-2025-Q12603,68990,PR00011,AML60E_B,7
HUF-2025-Q12603,47990,PR00011,AML60_K,1
HUF-2025-Q12603,66990,PR00011,AML60_K,2
HUF-2025-Q12603,66990,PR00011,AML60_K,3
HUF-2025-Q12603,66990,PR00011,AML60_K,4
HUF-2025-Q12603,66990,PR00011,AML60_K,5
HUF-2025-Q12603,69990,PR00011,AML60_K,7
HUF-2025-Q12603,51990,PR00011,AML70,1
HUF-2025-Q12603,73990,PR00011,AML70,2
HUF-2025-Q12603,73990,PR00011,AML70,3
HUF-2025-Q12603,73990,PR00011,AML70,4
HUF-2025-Q12603,73990,PR00011,AML70,5
HUF-2025-Q12603,76990,PR00011,AML70,7
HUF-2025-Q12603,53990,PR00011,AML80,1
HUF-2025-Q12603,75990,PR00011,AML80,2
HUF-2025-Q12603,75990,PR00011,AML80,3
HUF-2025-Q12603,75990,PR00011,AML80,4
HUF-2025-Q12603,75990,PR00011,AML80,5
HUF-2025-Q12603,78990,PR00011,AML80,7
HUF-2025-Q12603,55990,PR00011,AML90,1
HUF-2025-Q12603,81990,PR00011,AML90,2
HUF-2025-Q12603,81990,PR00011,AML90,3
HUF-2025-Q12603,81990,PR00011,AML90,4
HUF-2025-Q12603,81990,PR00011,AML90,5
HUF-2025-Q12603,83990,PR00011,AML90,7
HUF-2025-Q12603,57990,PR00011,AML100,1
HUF-2025-Q12603,85990,PR00011,AML100,2
HUF-2025-Q12603,85990,PR00011,AML100,3
HUF-2025-Q12603,85990,PR00011,AML100,4
HUF-2025-Q12603,85990,PR00011,AML100,5
HUF-2025-Q12603,87990,PR00011,AML100,7
HUF-2025-Q12603,61990,PR00011,AR20,1
HUF-2025-Q12603,73990,PR00011,AR20,2
HUF-2025-Q12603,73990,PR00011,AR20,3
HUF-2025-Q12603,73990,PR00011,AR20,4
HUF-2025-Q12603,73990,PR00011,AR20,5
